,region,shapeGroup,shapeType,crop_area_ha,Admin1,Admin2
156,Talbiseh,SYR,ADM3,"9,672.28",Homs,Ar-Rastan
157,Al-Qusayr,SYR,ADM3,"37,492.40",Homs,Al-Qusayr
158,Al Makhrim,SYR,ADM3,"45,092.74",Homs,Al Makhrim
159,Jeb Ej-Jarrah,SYR,ADM3,"51,790.26",Homs,Al Makhrim
160,Tadmor,SYR,ADM3,"37,525.23",Homs,Tadmor
161,Sokhneh,SYR,ADM3,"16,220.11",Homs,Tadmor
162,Tall Kalakh,34.660414],34.66041],"4,351.61",Homs,Tall Kalakh
163,Hadideh,SYR,ADM3,"1,925.72",Homs,Tall Kalakh
164,Hawash,SYR,ADM3,587.55,Homs,Tall Kalakh
165,Nasra,SYR,ADM3,157.9,Homs,Tall Kalakh
166,Homs,SYR,ADM3,"39,647.97",Homs,Homs
167,Taldu,SYR,ADM3,"6,183.90",Homs,Homs
168,Kherbet Tin Noor,SYR,ADM3,"6,003.15",Homs,Homs
169,Ein Elniser,SYR,ADM3,"25,090.03",Homs,Homs
170,Farqalas,SYR,ADM3,"12,841.03",Homs,Homs
171,Raqama,SYR,ADM3,"20,938.65",Homs,Homs
172,Mahin,SYR,ADM3,"1,241.81",Homs,Homs
173,Sadad,SYR,ADM3,"1,053.04",Homs,Homs
174,Qaryatein,34.635771000000005],34.635706],"1,963.68",Homs,Homs
175,Qabu,SYR,ADM3,"1,377.91",Homs,Homs
176,Shin,SYR,ADM3,516.21,Homs,Homs
177,Hasyaa,SYR,ADM3,"18,319.97",Homs,Homs
178,Izra',SYR,ADM3,"17,062.72",Dar'a,Izra'
179,Jasim,SYR,ADM3,"1,425.76",Dar'a,Izra'
180,Hrak,SYR,ADM3,"9,145.96",Dar'a,Izra'
181,Nawa,SYR,ADM3,"5,015.03",Dar'a,Izra'
182,Sheikh Miskine,SYR,ADM3,"8,387.08",Dar'a,Izra'
183,Tassil,SYR,ADM3,"1,448.03",Dar'a,Izra'
184,As-Sanamayn,SYR,ADM3,"18,761.11",Dar'a,As-Sanamayn
185,Masmiyyeh,SYR,ADM3,"7,034.17",Dar'a,As-Sanamayn
186,Ghabagheb,SYR,ADM3,"10,389.76",Dar'a,As-Sanamayn
187,Dar'a,SYR,ADM3,"23,339.55",Dar'a,Dar'a
188,Busra Esh-Sham,SYR,ADM3,"10,096.94",Dar'a,Dar'a
189,Kherbet Ghazala,SYR,ADM3,"11,250.73",Dar'a,Dar'a
190,Ash-Shajara,SYR,ADM3,"7,477.69",Dar'a,Dar'a
191,Da'el,SYR,ADM3,"7,633.15",Dar'a,Dar'a
192,Mzeireb,SYR,ADM3,"11,493.73",Dar'a,Dar'a
193,Jizeh,SYR,ADM3,"4,244.09",Dar'a,Dar'a
194,Mseifra,SYR,ADM3,"9,275.00",Dar'a,Dar'a
195,Abu Kamal,SYR,ADM3,"7,054.17",Deir-ez-Zor,Abu Kamal
196,Hajin,SYR,ADM3,"10,050.08",Deir-ez-Zor,Abu Kamal
197,Jalaa,SYR,ADM3,"3,851.06",Deir-ez-Zor,Abu Kamal
198,Susat,SYR,ADM3,"3,410.37",Deir-ez-Zor,Abu Kamal
199,Al Mayadin,SYR,ADM3,"9,173.70",Deir-ez-Zor,Al Mayadin
200,Thiban,SYR,ADM3,"9,968.38",Deir-ez-Zor,Al Mayadin
201,Ashara,SYR,ADM3,"5,771.11",Deir-ez-Zor,Al Mayadin
202,Deir-ez-Zor,[40.912966,[40.91289700000001,"17,477.68",Deir-ez-Zor,Deir-ez-Zor
203,Kisreh,SYR,ADM3,"39,971.93",Deir-ez-Zor,Deir-ez-Zor
204,Basira,[40.819063,[40.819017,"11,124.15",Deir-ez-Zor,Deir-ez-Zor
205,Muhasan,SYR,ADM3,"13,529.42",Deir-ez-Zor,Deir-ez-Zor
206,Tabni,34.711924],34.712214],"12,986.60",Deir-ez-Zor,Deir-ez-Zor
207,Khasham,SYR,ADM3,"4,369.15",Deir-ez-Zor,Deir-ez-Zor
208,Sur,[40.963541,[40.964079,"16,730.81",Deir-ez-Zor,Deir-ez-Zor
209,Sidnaya,SYR,ADM3,"3,137.87",Rural Damascus,At Tall
210,Rankus,35.063866],35.063795],"4,492.97",Rural Damascus,At Tall
211,Az-Zabdani,SYR,ADM3,"1,316.30",Rural Damascus,Az-Zabdani
212,Dimas,[40.563485,[40.563898,419.87,Rural Damascus,Az-Zabdani
213,Ein Elfijeh,SYR,ADM3,53.88,Rural Damascus,Az-Zabdani
214,Madaya,34.950811],34.951191],10.06,Rural Damascus,Az-Zabdani
215,Sarghaya,SYR,ADM3,47.24,Rural Damascus,Az-Zabdani
216,Al Qutayfah,SYR,ADM3,"1,854.51",Rural Damascus,Al Qutayfah
217,Jirud,35.426182],35.42597099999999],"3,130.22",Rural Damascus,Al Qutayfah
218,Ma'loula,SYR,ADM3,"1,295.90",Rural Damascus,Al Qutayfah
219,Raheiba,SYR,ADM3,892.35,Rural Damascus,Al Qutayfah
220,An Nabk,[40.250528,[40.250264,"1,906.20",Rural Damascus,An Nabk
221,Deir Attiyeh,SYR,ADM3,"3,673.80",Rural Damascus,An Nabk
222,Sahnaya,SYR,ADM3,505.74,Rural Damascus,Darayya
223,Duma,[40.216259,,"7,372.41",Rural Damascus,Duma
224,Sabe Byar,SYR,ADM3,"46,901.14",Rural Damascus,Duma
225,Dhameer,SYR,ADM3,"3,816.77",Rural Damascus,Duma
226,Nashabiyeh,SYR,ADM3,"10,852.16",Rural Damascus,Duma
227,Ghizlaniyyeh,SYR,ADM3,"5,265.33",Rural Damascus,Duma
228,Haran Al'awameed,[36.138544,[36.138386,"4,864.64",Rural Damascus,Duma
229,Qatana,SYR,ADM3,"5,218.57",Rural Damascus,Qatana
230,Sa'sa',[36.00309200000001,[36.00306499999999,"8,488.62",Rural Damascus,Qatana
231,Bait Jan,SYR,ADM3,"2,872.10",Rural Damascus,Qatana
232,Kisweh,SYR,ADM3,"9,904.71",Rural Damascus,Rural Damascus
233,Maliha,SYR,ADM3,"4,961.91",Rural Damascus,Rural Damascus
234,Yabroud,SYR,ADM3,"3,300.96",Rural Damascus,Yabroud
235,Esal El-Ward,SYR,ADM3,"2,655.48",Rural Damascus,Yabroud
236,Sheikh Badr,SYR,ADM3,313.43,Tartous,Sheikh Badr
237,Qumseyyeh,SYR,ADM3,139.89,Tartous,Sheikh Badr
238,Baramanet Elmashayekh,SYR,ADM3,246.6,Tartous,Sheikh Badr
239,Banyas,SYR,ADM3,352.4,Tartous,Banyas
240,Rawda,SYR,ADM3,109.6,Tartous,Banyas
241,Anaza,SYR,ADM3,197.48,Tartous,Qadmous
242,Hamam Wasil,SYR,ADM3,191.78,Tartous,Qadmous
243,Tawahin,SYR,ADM3,405.35,Tartous,Qadmous
244,Taleen,SYR,ADM3,45.96,Tartous,Banyas
245,Qadmous,SYR,ADM3,866.02,Tartous,Qadmous
246,Dreikish,SYR,ADM3,254.62,Tartous,Dreikish
247,Jneinet Raslan,SYR,ADM3,56.82,Tartous,Dreikish
248,Hamin,SYR,ADM3,103.72,Tartous,Dreikish
249,Dweir Raslan,SYR,ADM3,62.32,Tartous,Dreikish
250,Safita,33.371749],33.371488],640.23,Tartous,Safita
251,Mashta Elhiu,SYR,ADM3,124.22,Tartous,Safita
252,Bariqiyeh,SYR,ADM3,166.96,Tartous,Safita
253,Sibbeh,SYR,ADM3,88.82,Tartous,Safita
254,Sisniyyeh,SYR,ADM3,"1,077.64",Tartous,Safita
255,Ras El-Khashufeh,SYR,ADM3,273.08,Tartous,Safita
256,Arwad,SYR,ADM3,0,Tartous,Tartous
257,Tartous,SYR,ADM3,"1,607.36",Tartous,Tartous
258,Hameidiyyeh,SYR,ADM3,"3,093.91",Tartous,Tartous
259,Kherbet Elma'aza,SYR,ADM3,546.83,Tartous,Tartous
260,Soda Khawabi,SYR,ADM3,318.07,Tartous,Tartous
261,Kareemeh,SYR,ADM3,"2,052.87",Tartous,Tartous
262,Safsafa,SYR,ADM3,"1,465.69",Tartous,Tartous
263,Saboura,SYR,ADM3,"38,987.29",Hama,As-Salamiyeh
264,Jaramana,SYR,ADM3,116.75,Rural Damascus,Rural Damascus
265,Kafr Batna,SYR,ADM3,717.53,Rural Damascus,Rural Damascus
266,Arbin,SYR,ADM3,3.19,Rural Damascus,Rural Damascus
267,Harasta,SYR,ADM3,403.24,Rural Damascus,Duma
268,At Tall,SYR,ADM3,"1,732.68",Rural Damascus,At Tall
269,Markaz Darayya,SYR,ADM3,238.33,Rural Damascus,Darayya
270,Hajar Aswad,SYR,ADM3,69.7,Rural Damascus,Darayya
271,Damascus,SYR,ADM3,259.83,Damascus,Damascus
272,Babella,SYR,ADM3,"2,437.70",Rural Damascus,Rural Damascus
273,Qudsiya,SYR,ADM3,227.35,Rural Damascus,Rural Damascus
